time,mmsi,nav_status,sog,cog,rot,true_head,lon,lat,draught,dis,delta_time,phase
1667283639,357420000,0,18.1,2250,0,220,113.334198,21.489599,82,0.10646119,11,sea
1667283645,357420000,0,17.9,2170,0,220,113.3339,21.489201,82,0.053936988,6,sea
1667283658,357420000,0,17.9,2189,0,221,113.333099,21.488501,82,0.11369678,13,sea
1667283670,357420000,0,18,2220,0,221,113.332397,21.4877,82,0.11492849,12,sea
1667284143,357420000,0,17.9,2201,0,220,113.304398,21.458599,82,4.3433867,473,sea
1667284157,357420000,0,17.8,2239,0,220,113.3041,21.4583,82,0.045348007,14,sea
1667284173,357420000,0,17.9,2214,0,221,113.302696,21.456699,82,0.22979015,16,sea
1667284191,357420000,0,17.8,2214,0,221,113.301598,21.455601,82,0.16678864,18,sea
1667284211,357420000,0,17.6,2210,0,221,113.300499,21.4545,82,0.16710398,20,sea
1667284220,357420000,0,17.3,2226,0,219,113.299896,21.453899,82,0.091434926,9,sea
1667284228,357420000,0,17.6,2250,0,222,113.2994,21.453501,82,0.06777507,8,sea
1667284238,357420000,0,17.1,2266,0,218,113.298897,21.4529,82,0.08471027,10,sea
1667284251,357420000,0,16.7,2231,0,217,113.298103,21.452101,82,0.12101931,13,sea
1667284258,357420000,0,16.9,2233,0,216,113.297699,21.451799,82,0.05362663,7,sea
1667284264,357420000,0,16.8,2196,0,217,113.297401,21.451401,82,0.05394175,6,sea
1667284269,357420000,0,16.8,2198,0,217,113.297096,21.451099,82,0.046087377,5,sea
1667284275,357420000,0,16.9,2177,0,218,113.296799,21.450701,82,0.05388265,6,sea
1667284281,357420000,0,17,2203,0,219,113.296402,21.4503,82,0.060632635,6,sea
1667284285,357420000,0,17.1,2206,0,220,113.296303,21.450199,82,0.015202113,4,sea
1667284293,357420000,0,17.1,2200,0,219,113.295799,21.4496,82,0.08459939,8,sea
1667284298,357420000,0,17.1,2222,0,221,113.295502,21.4494,82,0.037939,5,sea
1667284305,357420000,0,17.1,2214,0,220,113.295197,21.4489,82,0.06393338,7,sea
1667284311,357420000,0,17.3,2227,0,220,113.294701,21.4485,82,0.067921855,6,sea
1667285023,357420000,0,17,2220,0,0,113.251701,21.405001,82,6.5731287,712,sea
1667286461,357420000,0,18,2230,0,0,113.166702,21.315001,82,13.327811,1438,sea
1667287722,357420000,0,17,2220,0,0,113.0933,21.2383,82,11.427387,1261,sea
1667287803,357420000,0,17.1,2212,0,219,113.089699,21.234699,82,0.54738075,81,sea
1667287823,357420000,0,17.3,2208,0,220,113.089302,21.234301,82,0.06042902,20,sea
1667287830,357420000,0,17.2,2193,0,220,113.088997,21.233999,82,0.04611934,7,sea
1667287857,357420000,0,17.5,2211,0,220,113.086601,21.2314,82,0.38103828,27,sea
1667287879,357420000,0,17.5,2230,0,220,113.086304,21.231001,82,0.054000363,22,sea
1667287905,357420000,0,17.5,2218,0,220,113.0839,21.2285,82,0.3733972,26,sea
1667287911,357420000,0,17.4,2208,0,218,113.083504,21.2281,82,0.060522836,6,sea
1667287929,357420000,0,17.5,2248,0,219,113.082497,21.226999,82,0.16088003,18,sea
1667287935,357420000,0,17.6,2189,0,222,113.082199,21.2267,82,0.045381185,6,sea
1667287942,357420000,0,17.3,2257,0,220,113.081802,21.226299,82,0.060675208,7,sea
1667287946,357420000,0,17.4,2251,0,219,113.081596,21.226,82,0.039513186,4,sea
1667287962,357420000,0,17.4,2211,0,218,113.080704,21.2251,82,0.13624784,16,sea
1667287984,357420000,0,17.5,2206,0,220,113.079399,21.2237,82,0.20623082,22,sea
